name,date,time,venue,team
Flyers 2024 ROFR,2025-04-15,19:00:00,Xfinity Mobile Arena,Philadelphia 76ers
WWE Monday Night RAW,2025-10-20,16:30:00,Golden 1 Center,Sacramento Kings
Playboi Carti - Suites,2025-10-20,19:00:00,Ball Arena,Denver Nuggets
Boardroom Access,2025-10-20,19:00:00,Madison Square Garden,New York Knicks
Billie Eilish Luxury,2025-10-20,19:00:00,Spectrum Center,Charlotte Hornets
Flyers Primepoint Pass 10/20/25,2025-10-20,19:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Mumford & Sons,2025-10-20,19:30:00,Little Caesars Arena,Detroit Pistons
NBA YoungBoy - MASA TOUR,2025-10-20,19:30:00,Smoothie King Center,New Orleans Pelicans
Adam Sandler: You're My Best Friend,2025-10-20,19:30:00,United Center,Chicago Bulls
Oklahoma City Thunder vs. Houston Rockets,2025-10-21,18:30:00,Paycom Center,Oklahoma City Thunder
Dallas Stars vs. Columbus Blue Jackets,2025-10-21,19:00:00,American Airlines Center,Dallas Mavericks
Capitals vs Kraken (Donate Life),2025-10-21,19:00:00,Capital One Arena,Washington Wizards
Los Angeles Lakers vs. Golden State Warriors,2025-10-21,19:00:00,Crypto.com Arena,Los Angeles Lakers
Orlando Solar Bears vs. Florida Everblades,2025-10-21,19:00:00,Kia Center,Orlando Magic
Lorde: Ultrasound,2025-10-21,19:00:00,Moda Center,Portland Trail Blazers
Toronto Maple Leafs v New Jersey Devils,2025-10-21,19:00:00,Scotiabank Arena,Toronto Raptors
Stevie Nicks,2025-10-21,19:00:00,Spectrum Center,Charlotte Hornets
Boston Bruins vs. Florida Panthers,2025-10-21,19:30:00,TD Garden,Boston Celtics
Tate McRae: Miss Possessive Tour,2025-10-21,19:30:00,United Center,Chicago Bulls
Utah Mammoth vs. Colorado Avalanche,2025-10-21,20:00:00,Delta Center,Utah Jazz
Subscription - 11/4/25,2025-10-21,20:00:00,Intuit Dome,Los Angeles Clippers
Madison Square Garden Tour Experience,2025-10-21,,Madison Square Garden,New York Knicks
Utah Jazz vs. LA Clippers,2025-10-22,19:00:00,Delta Center,Utah Jazz
Memphis Grizzlies vs. New Orleans Pelicans,2025-10-22,19:00:00,FedExForum,Memphis Grizzlies
Milwaukee Bucks vs. Washington Wizards,2025-10-22,19:00:00,Fiserv Forum,Milwaukee Bucks
Orlando Magic vs. Miami Heat,2025-10-22,19:00:00,Kia Center,Orlando Magic
New York Knicks vs. Cleveland Cavaliers,2025-10-22,19:00:00,Madison Square Garden,New York Knicks
Portland Trail Blazers vs. Minnesota Timberwolves,2025-10-22,19:00:00,Moda Center,Portland Trail Blazers
Charlotte Hornets vs. Brooklyn Nets,2025-10-22,19:00:00,Spectrum Center,Charlotte Hornets
Chicago Bulls vs. Detroit Pistons,2025-10-22,19:00:00,United Center,Chicago Bulls
Atlanta Hawks v. Toronto Raptors,2025-10-22,19:30:00,State Farm Arena,Atlanta Hawks
Boston Celtics vs. Philadelphia 76ers,2025-10-22,19:30:00,TD Garden,Boston Celtics
Dallas Mavericks vs. San Antonio Spurs,2025-10-22,20:30:00,American Airlines Center,Dallas Mavericks
Postgame Pass - Philadelphia 76ers,2025-10-22,21:30:00,TD Garden,Boston Celtics
Madison Square Garden Tour Experience,2025-10-22,,Madison Square Garden,New York Knicks
Dallas Stars Angel's Envy - Los Angeles Kings,2025-10-23,19:00:00,American Airlines Center,Dallas Mavericks
Colorado Avalanche vs. Carolina Hurricanes,2025-10-23,19:00:00,Ball Arena,Denver Nuggets
Golden State Warriors vs. Denver Nuggets,2025-10-23,19:00:00,Chase Center,Golden State Warriors
Phil Wickham - Air1 Worship Now Tour,2025-10-23,19:00:00,Golden 1 Center,Sacramento Kings
Orlando Solar Bears vs. Atlanta Gladiators,2025-10-23,19:00:00,Kia Center,Orlando Magic
New York Rangers vs. San Jose Sharks,2025-10-23,19:00:00,Madison Square Garden,New York Knicks
Boston Bruins vs. Anaheim Ducks,2025-10-23,19:00:00,TD Garden,Boston Celtics
Nate Bargatze: Big Dumb Eyes World Tour,2025-10-23,19:00:00,United Center,Chicago Bulls
BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2025-10-23,19:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Laufey: A Matter Of Time (North America),2025-10-23,19:30:00,Capital One Arena,Washington Wizards
Eric Church w/ Charles Wesley Godwin,2025-10-23,19:30:00,Delta Center,Utah Jazz
(GUEST PASSES) Pacers vs. Thunder,2025-10-23,19:30:00,Gainbridge Fieldhouse,Indiana Pacers
Dallas Stars vs. Los Angeles Kings,2025-10-23,20:00:00,American Airlines Center,Dallas Mavericks
2025-26 Test Game 36,2025-10-23,20:00:00,Intuit Dome,Los Angeles Clippers
Maroon 5: LOVE IS LIKE Tour,2025-10-23,20:00:00,Moda Center,Portland Trail Blazers
Madison Square Garden Tour Experience,2025-10-23,,Madison Square Garden,New York Knicks
Los Angeles Lakers vs. Minnesota Timberwolves,2025-10-24,19:00:00,Crypto.com Arena,Los Angeles Lakers
Memphis Grizzlies vs. Miami Heat,2025-10-24,19:00:00,FedExForum,Memphis Grizzlies
Sacramento Kings vs. Utah Jazz,2025-10-24,19:00:00,Golden 1 Center,Sacramento Kings
